pupilId,subscription_type,subscription_start_date,subscription_end_date,codeCountry
996989,Monthly,2017-10-27,2017-11-27,GBR
996989,Monthly,2017-11-27,2017-12-27,GBR
996989,Monthly,2017-12-27,2018-01-27,GBR
996989,Monthly,2018-01-27,2018-02-27,GBR
996989,Monthly,2018-02-27,2018-03-27,GBR
997033,Monthly,2016-01-15,2016-02-15,GBR
997033,Monthly,2016-02-15,2016-03-15,GBR
997033,Monthly,2016-03-15,2016-04-15,GBR
997033,Monthly,2016-04-15,2016-05-15,GBR
997033,Monthly,2016-05-15,2016-06-15,GBR
997033,Monthly,2016-06-15,2016-07-15,GBR
997033,Monthly,2016-07-15,2016-08-15,GBR
997033,Monthly,2016-08-15,2016-09-15,GBR
997033,Monthly,2016-09-15,2016-10-15,GBR
997033,Monthly,2016-10-15,2016-11-28,GBR
997033,Monthly,2016-11-28,2016-12-28,GBR
997033,Monthly,2016-12-28,2017-01-28,GBR
997033,Monthly,2017-01-28,2017-02-28,GBR
997033,Monthly,2017-02-28,2017-03-28,GBR
997033,Monthly,2017-03-28,2017-04-28,GBR
997033,Monthly,2017-04-28,2017-05-28,GBR
997033,Monthly,2017-05-28,2017-06-28,GBR
997033,Monthly,2017-06-28,2017-07-28,GBR
997033,Monthly,2017-07-28,2017-08-28,GBR
997050,Annual,2016-01-14,2017-01-14,GBR
997050,Annual,2016-01-14,2017-01-14,GBR
997050,Annual,2017-01-14,2018-01-14,GBR
997050,Annual,2017-01-14,2018-01-14,GBR
997050,Annual,2018-01-14,2019-01-14,GBR
997050,Annual,2018-01-14,2019-01-14,GBR
997083,Monthly,2016-01-17,2016-02-17,GBR
997083,Monthly,2016-02-17,2016-03-17,GBR
997083,Monthly,2016-03-17,2016-04-17,GBR
997090,Monthly,2016-01-11,2016-02-11,GBR
997090,Monthly,2016-02-11,2016-03-11,GBR
997090,Monthly,2016-03-11,2016-04-11,GBR
997090,Monthly,2016-04-11,2016-05-11,GBR
997090,Monthly,2016-05-11,2016-06-11,GBR
997090,Monthly,2016-06-11,2016-07-11,GBR
997090,Monthly,2016-07-11,2016-08-11,GBR
997096,Monthly,2016-01-10,2016-02-10,GBR
997096,Monthly,2016-02-10,2016-03-10,GBR
997096,Monthly,2016-03-10,2016-04-10,GBR
997096,Monthly,2016-04-10,2016-05-10,GBR
997096,Monthly,2016-05-10,2016-06-10,GBR
997108,Monthly,2016-01-27,2016-02-27,GBR
997108,Monthly,2016-02-27,2016-03-27,GBR
997108,Monthly,2016-03-27,2016-04-27,GBR
997108,Monthly,2016-04-27,2016-05-27,GBR
997108,Monthly,2016-05-27,2016-06-27,GBR
997108,Monthly,2016-06-27,2016-07-27,GBR
997151,Monthly,2016-01-29,2016-02-29,GBR
997151,Monthly,2016-02-29,2016-03-29,GBR
997151,Monthly,2016-03-29,2016-04-29,GBR
997151,Monthly,2016-04-29,2016-05-29,GBR
997151,Monthly,2016-05-29,2016-06-29,GBR
997151,Monthly,2016-06-29,2016-07-29,GBR
997151,Monthly,2016-07-29,2016-08-29,GBR
997151,Monthly,2016-08-29,2016-09-29,GBR
997151,Monthly,2016-09-29,2016-10-29,GBR
997189,Monthly,2016-01-23,2016-02-23,GBR
997189,Monthly,2016-02-23,2016-03-23,GBR
997189,Monthly,2016-03-23,2016-04-23,GBR
997190,Monthly,2016-01-11,2016-02-11,GBR
997195,Monthly,2016-01-13,2016-02-13,GBR
997195,Monthly,2016-02-13,2016-03-13,GBR
997198,Annual,2016-01-11,2017-01-11,GBR
997198,Annual,2017-01-11,2018-01-11,GBR
997199,Monthly,2016-01-11,2016-02-11,GBR
997233,Annual,2016-01-18,2017-01-18,GBR
997335,Annual,2016-01-19,2017-01-19,GBR
997673,Monthly,2016-01-31,2016-02-29,GBR
997673,Monthly,2016-02-29,2016-03-29,GBR
997673,Monthly,2016-03-29,2016-04-29,GBR
997765,Annual,2016-01-14,2017-01-14,GBR
997794,Annual,2016-09-06,2017-09-06,GBR
997794,Annual,2017-09-06,2018-09-06,GBR
998610,Monthly,2016-01-23,2016-02-23,GBR
998610,Monthly,2016-02-23,2016-03-23,GBR
998610,Monthly,2016-03-23,2016-04-23,GBR
998610,Monthly,2016-04-23,2016-05-23,GBR
998610,Monthly,2016-05-23,2016-06-23,GBR
998610,Monthly,2016-06-23,2016-07-23,GBR
998610,Monthly,2016-07-23,2016-08-23,GBR
998610,Monthly,2016-08-23,2016-09-23,GBR
998610,Monthly,2016-09-23,2016-10-23,GBR
998610,Monthly,2016-10-23,2016-11-23,GBR
998610,Monthly,2016-11-23,2016-12-23,GBR
998610,Monthly,2016-12-23,2017-01-23,GBR
998610,Monthly,2017-01-23,2017-02-23,GBR
998610,Monthly,2017-02-23,2017-03-23,GBR
998670,Annual,2016-01-19,2017-01-19,GBR
998776,Monthly,2016-03-29,2016-04-29,GBR
998776,Monthly,2016-04-29,2016-05-29,GBR
998776,Monthly,2016-05-29,2016-06-29,GBR
998776,Monthly,2016-06-29,2016-07-29,GBR
998776,Monthly,2016-07-29,2016-08-29,GBR
998776,Monthly,2016-08-29,2016-09-29,GBR
998776,Monthly,2016-09-29,2016-10-29,GBR
998776,Monthly,2016-10-29,2016-11-29,GBR
998776,Monthly,2016-11-29,2016-12-29,GBR
998776,Monthly,2016-12-29,2017-01-29,GBR
998776,Monthly,2017-01-29,2017-02-28,GBR
998776,Monthly,2017-02-28,2017-03-28,GBR
998776,Monthly,2017-03-28,2017-04-28,GBR
998776,Monthly,2017-04-28,2017-05-28,GBR
998776,Monthly,2017-05-28,2017-06-28,GBR
998776,Monthly,2017-06-28,2017-07-28,GBR
998776,Monthly,2017-07-28,2017-08-28,GBR
998776,Monthly,2017-08-28,2017-09-28,GBR
998776,Monthly,2017-09-28,2017-10-28,GBR
998777,Monthly,2016-02-04,2016-03-04,GBR
998777,Monthly,2016-03-04,2016-04-04,GBR
998777,Monthly,2016-04-04,2016-05-04,GBR
998777,Monthly,2016-05-04,2016-06-04,GBR
998777,Monthly,2016-06-04,2016-07-04,GBR
998777,Monthly,2016-07-04,2016-08-04,GBR
998777,Monthly,2016-08-04,2016-09-04,GBR
998777,Monthly,2016-09-04,2016-10-04,GBR
998777,Monthly,2016-10-04,2016-11-04,GBR
998777,Monthly,2016-11-04,2016-12-04,GBR
998784,Annual,2016-10-14,2017-10-14,GBR
998784,Annual,2017-10-14,2018-10-14,GBR
998931,Annual,2016-01-19,2017-01-19,GBR
998995,Monthly,2016-02-17,2016-03-17,GBR
998995,Monthly,2016-04-26,2016-05-26,GBR
998995,Monthly,2016-05-26,2016-06-26,GBR
998995,Monthly,2016-06-26,2016-07-26,GBR
998995,Monthly,2016-07-26,2016-08-26,GBR
998995,Monthly,2016-08-26,2016-09-26,GBR
998995,Monthly,2016-09-26,2016-10-26,GBR
998995,Monthly,2016-10-26,2016-11-26,GBR
998995,Monthly,2017-01-04,2017-02-04,GBR
999050,Annual,2016-01-20,2017-01-20,GBR
999077,Annual,2016-01-30,2017-01-30,GBR
999077,Annual,2017-01-30,2018-01-30,GBR
999105,Annual,2016-02-18,2017-02-18,GBR
999105,Annual,2017-02-18,2018-02-18,GBR
999105,Annual,2018-02-18,2019-02-18,GBR
999119,Monthly,2016-01-24,2016-02-24,GBR
